feature,variance,variance_rank,logreg_importance,logreg_rank,rf_importance,rf_rank,avg_rank
LOC_Os01g39960,1.3401100438295184,452,0.027803637831734368,117,0.0,307,292.0
LOC_Os04g27094,1.3594553173870272,433,0.010214159276516416,413,0.0075407472323073335,32,292.6666666666667
LOC_Os06g29994,1.3724373549674145,419,0.016573195277022876,303,0.0019405253837072017,157,293.0
LOC_Os10g42299,1.334149289766954,467,0.01783970008202538,284,0.002531249999999999,129,293.3333333333333
LOC_Os12g05440,2.10549946204916,131,0.013528617625431638,358,0.0,393,294.0
LOC_Os10g39140,1.4009890378963543,392,0.01575416688260237,318,0.001155963302752294,172,294.0
LOC_Os01g53470,2.472160951136305,93,0.016842695653927594,300,0.0,490,294.3333333333333
LOC_Os04g02050,2.448347934938702,95,0.01766995232564885,289,0.0,499,294.3333333333333
LOC_Os02g08270,1.4184841350776816,370,0.01755544201378627,292,0.0006694214876033054,224,295.3333333333333
LOC_Os02g39330,1.6785612407865964,240,0.00778130367855685,444,0.0009917355371900827,202,295.3333333333333
LOC_Os06g13870,1.3536507958144202,438,0.019266652097055605,251,0.0010010593220338984,198,295.6666666666667
LOC_Os02g17400,1.4139280091257322,376,0.016510108095952655,305,0.0009642857142857145,209,296.6666666666667
LOC_Os04g54300,1.330506078970171,471,0.013828403509401637,350,0.004595935770338919,71,297.3333333333333
LOC_Os01g66900,1.4772062285139482,338,0.013389488521513565,364,0.0010169491525423727,192,298.0
LOC_Os01g60170,1.4234617148715811,362,0.018292708110330527,272,0.0,260,298.0
LOC_Os09g34230,2.0293604585879823,144,0.014042363541297205,349,0.0,401,298.0
LOC_Os08g31880,1.4169048993273454,372,0.013363968640221333,367,0.001961259079903148,155,298.0
LOC_Os11g25510,1.384713424300777,407,0.023628545494868324,166,0.0,324,299.0
LOC_Os03g08410,1.9442715374372652,168,0.015566239831484847,324,0.0,405,299.0
LOC_Os01g41420,1.5957855442045574,274,0.026159323310877534,129,0.0,496,299.6666666666667
LOC_Os05g45070,1.399809208369531,393,0.018374595255337463,268,0.0,239,300.0
LOC_Os05g04000,1.3186812018569969,481,0.02824500099135759,114,0.0,305,300.0
LOC_Os11g37700,1.4380517395758856,357,0.018182629257580296,275,0.0,270,300.6666666666667
LOC_Os07g32710,1.5818369816335123,286,0.026036848870530708,133,0.0,487,302.0
